gemeente_code,gemeente_naam,ggd_code,ggd_naam
GM1680,Aa en Hunze,GG0706,GGD Drenthe
GM0358,Aalsmeer,GG3406,GGD Amsterdam
GM0197,Aalten,GG1413,GGD Noord- en Oost-Gelderland
GM0059,Achtkarspelen,GG7206,GGD Fryslân
GM0482,Alblasserdam,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM0613,Albrandswaard,GG4607,GGD Rotterdam-Rijnmond
GM0361,Alkmaar,GG2707,GGD Hollands-Noorden
GM0141,Almelo,GG1106,GGD Regio Twente
GM0034,Almere,GG2209,GGD Flevoland
GM0484,Alphen aan den Rijn,GG4506,GGD Hollands-Midden
GM1723,Alphen-Chaam,GG5206,GGD West-Brabant
GM1959,Altena,GG5206,GGD West-Brabant
GM0060,Ameland,GG7206,GGD Fryslân
GM0307,Amersfoort,GG2514,GGD Regio Utrecht
GM0362,Amstelveen,GG3406,GGD Amsterdam
GM0363,Amsterdam,GG3406,GGD Amsterdam
GM0200,Apeldoorn,GG1413,GGD Noord- en Oost-Gelderland
GM0003,Appingedam,GG0111,GGD Groningen
GM0202,Arnhem,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0106,Assen,GG0706,GGD Drenthe
GM0743,Asten,GG5608,GGD Brabant-Zuidoost
GM0744,Baarle-Nassau,GG5206,GGD West-Brabant
GM0308,Baarn,GG2514,GGD Regio Utrecht
GM0489,Barendrecht,GG4607,GGD Rotterdam-Rijnmond
GM0203,Barneveld,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0888,Beek (L.),GG6106,GGD Zuid-Limburg
GM1954,Beekdaelen,GG6106,GGD Zuid-Limburg
GM0370,Beemster,GG7306,GGD Zaanstreek/Waterland
GM0889,Beesel,GG6011,GGD Limburg-Noord
GM1945,Berg en Dal,GG2014,GGD Gelderland-Zuid
GM1724,Bergeijk,GG5608,GGD Brabant-Zuidoost
GM0893,Bergen (L.),GG6011,GGD Limburg-Noord
GM0373,Bergen (NH.),GG2707,GGD Hollands-Noorden
GM0748,Bergen op Zoom,GG5206,GGD West-Brabant
GM1859,Berkelland,GG1413,GGD Noord- en Oost-Gelderland
GM1721,Bernheze,GG5406,GGD Hart voor Brabant
GM0753,Best,GG5608,GGD Brabant-Zuidoost
GM0209,Beuningen,GG2014,GGD Gelderland-Zuid
GM0375,Beverwijk,GG3109,GGD Kennemerland
GM0310,De Bilt,GG2514,GGD Regio Utrecht
GM1728,Bladel,GG5608,GGD Brabant-Zuidoost
GM0376,Blaricum,GG3606,GGD Gooi en Vechtstreek
GM0377,Bloemendaal,GG3109,GGD Kennemerland
GM1901,Bodegraven-Reeuwijk,GG4506,GGD Hollands-Midden
GM0755,Boekel,GG5406,GGD Hart voor Brabant
GM1681,Borger-Odoorn,GG0706,GGD Drenthe
GM0147,Borne,GG1106,GGD Regio Twente
GM0654,Borsele,GG5006,GGD Zeeland
GM0756,Boxmeer,GG5406,GGD Hart voor Brabant
GM0757,Boxtel,GG5406,GGD Hart voor Brabant
