pc4,Gemeente2019,gemeente_code,gemeente_naam,ggd_code,ggd_naam
1011,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1012,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1013,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1014,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1015,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1016,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1017,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1018,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1019,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1021,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1022,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1023,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1024,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1025,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1026,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1027,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1028,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1031,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1032,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1033,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1034,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1035,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1036,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1037,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1041,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1042,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1043,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1044,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1045,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1046,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1047,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1051,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1052,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1053,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1054,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1055,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1056,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1057,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1058,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1059,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1060,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1061,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1062,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1063,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1064,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1065,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1066,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1067,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1068,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1069,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1071,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1072,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1073,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1074,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1075,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
1076,363,GM0363,Amsterdam,GG3406,GGD Amsterdam
